u_q,coolant,stator_winding,u_d,stator_tooth,motor_speed,i_d,i_q,pm,stator_yoke,ambient,torque
-0.4506815075874328,18.80517196655273,19.086669921875,-0.3500545918941498,18.2932186126709,0.0028655678033828,0.0044191367924213,0.0003281021781731,24.554214477539062,18.316547393798828,19.850690841674805,0.1871007978916168
91.50767517089844,18.77867317199707,27.10506629943848,-91.7096710205078,22.76195907592773,4999.95361328125,-142.9205322265625,52.76118850708008,26.787107467651367,19.5844783782959,19.85062026977539,48.43657302856445
91.07769775390624,18.85053443908692,37.99382019042969,-92.40193939208984,30.144256591796875,4999.9521484375,-142.0380096435547,52.93950653076172,30.638973236083984,23.205888748168945,19.850629806518555,48.388710021972656
90.46346282958984,18.964326858520508,45.60593795776367,-93.08092498779295,35.77642059326172,4999.9560546875,-141.34864807128906,53.00292205810547,33.94081497192383,26.37827110290528,20.032968521118164,48.413028717041016
90.32555389404295,19.09735107421875,51.8885612487793,-93.02570343017578,39.45176696777344,4999.9560546875,-141.37648010253906,53.000732421875,37.251007080078125,29.65726661682129,20.03555488586425,48.52598190307617
90.1732406616211,19.115095138549805,55.83843612670898,-93.4328384399414,43.19774627685547,4999.95458984375,-140.93907165527344,53.08382034301758,40.10254287719727,31.96902275085449,21.090482711791992,48.44429397583008
89.42864990234375,19.01337432861328,59.07392883300781,-94.05225372314452,45.831016540527344,4999.95751953125,-140.35350036621094,53.10197830200195,42.70854187011719,33.67131805419922,21.47439193725586,48.31354522705078
89.81327056884766,18.870100021362305,61.81382369995117,-93.6553192138672,47.07752990722656,4999.951171875,-140.64027404785156,53.10080337524414,45.095062255859375,35.04058837890625,21.670101165771484,48.43806838989258
89.41516876220703,18.77852249145508,63.885032653808594,-94.221923828125,49.580528259277344,4999.94921875,-140.14962768554688,53.1534538269043,47.26947021484375,36.24277877807617,21.486467361450195,48.40864944458008
88.82157135009766,18.757644653320312,65.17755126953125,-94.55123138427734,50.949798583984375,4999.9521484375,-139.9047393798828,53.15585708618164,49.15956497192383,37.00312042236328,22.022539138793945,48.48846435546875
89.0415267944336,18.850717544555664,65.8362808227539,-94.43601989746094,52.5115852355957,4999.9541015625,-140.02024841308594,53.15166091918945,50.98851776123047,37.86835479736328,21.579843521118164,48.31818389892578
88.39142608642578,19.211599349975582,67.22368621826172,-95.1646728515625,52.633056640625,4999.95751953125,-139.46987915039062,53.23878479003906,52.44327545166016,38.31235122680664,22.191425323486328,48.52668380737305
88.7336196899414,19.3974552154541,68.53153228759766,-94.49887084960938,53.108646392822266,4999.96240234375,-139.90158081054688,53.22777557373047,53.84659194946289,38.87551498413086,22.225317001342773,48.45558547973633
88.52894592285156,18.83755111694336,69.01403045654297,-95.32115936279295,53.84225463867188,4999.95263671875,-139.18276977539062,53.315162658691406,55.08489990234375,39.211063385009766,22.287729263305664,48.39533996582031
88.57196807861328,17.883033752441406,69.78755950927734,-94.91789245605467,54.224029541015625,4999.95849609375,-139.75759887695312,53.20797348022461,56.28385925292969,39.41978454589844,21.660608291625977,48.62886047363281
88.53458404541016,17.878829956054688,70.07998657226562,-95.16106414794922,54.81009292602539,4999.9560546875,-138.90235900878906,53.26506805419922,57.26551055908203,39.377559661865234,21.91818618774414,48.3022575378418
88.4093017578125,18.25985336303711,70.12409973144531,-95.07144927978516,54.95432662963867,4999.95703125,-139.5592498779297,53.21586990356445,58.16545486450195,39.371376037597656,22.47667694091797,48.57355880737305
88.115478515625,18.73835563659668,70.55052947998047,-95.659423828125,55.16281509399414,4999.95166015625,-138.9061279296875,53.34046173095703,59.01154327392578,39.449195861816406,22.3822078704834,48.46663665771485
88.29940795898438,19.106534957885746,70.6462631225586,-95.1423568725586,55.60123443603516,4999.9453125,-139.32794189453125,53.212989807128906,59.74921798706055,39.45228576660156,23.178466796875,48.567626953125
