u_q,coolant,stator_winding,u_d,stator_tooth,motor_speed,i_d,i_q,pm,stator_yoke,ambient,torque
-0.012299344593753,0.4917632499452281,0.3489481700192788,0.0026517648600208,0.4137386615694158,-6.594773531304472e-07,-0.012194928819141,-0.0797117911558088,0.350604084267192,0.474226013760083,0.7756140005381137,-0.0680795066568002
0.8896302027813393,0.4919580566266975,0.3496710129284797,0.2601967184495977,0.4162815357451824,0.6964788574228807,-0.2919044978647658,-0.0913720218883948,0.3516451304549522,0.4740863049700232,0.7794164289310944,-0.0912385223945977
0.9525377738397108,0.491853391719273,0.3504119626601025,0.2552755742310971,0.4275763644517782,0.7369093892142271,-0.3123997607502786,-0.0840844379793599,0.3498618062585638,0.4712085824318464,0.7764417467174851,-0.086797066724667
0.9378801723320248,0.4920118591413757,0.354185192187757,0.3103061683541632,0.4320598394762485,0.723528486267578,-0.3117294580157903,-0.1022813177167398,0.3543133254955717,0.4755538555772094,0.7765798211547469,-0.1051209763367371
0.9558824434059646,0.4920065234073896,0.3586844434288059,0.2483161521681033,0.4353520247740516,0.7207586502311034,-0.3001710703497454,-0.0829332223968197,0.3573397346815848,0.4777282110078479,0.7734291230057146,-0.0854649810075657
0.9727585120013276,0.4918993238793117,0.3607889772139221,0.1756341635302658,0.4393502361607028,0.711148382490403,-0.2844342640776087,-0.0611710533121603,0.3575563874636468,0.4789957920501907,0.7749075787875203,-0.0633304412669572
0.9616770656095344,0.4920009671914058,0.3628232175450409,0.228400990920457,0.4405463542217208,0.7060468605220535,-0.2865438053983215,-0.0779108717187562,0.359937339945179,0.4822894295152622,0.7864855654178613,-0.0799965605164688
0.9539748758293284,0.4919857086827338,0.3662829927285361,0.258907431366639,0.4420258427999848,0.7356630484727991,-0.3102377624024789,-0.0854978982637986,0.3642102411134255,0.4861186498432603,0.7848960886779325,-0.0882384553285372
0.9446539451715706,0.4921543167940583,0.3714795589578558,0.2891449989219876,0.444639063429611,0.7562424450828253,-0.3272657121751452,-0.0928281748581301,0.3631742802267124,0.4872558036815174,0.786777884518107,-0.0962323692502642
0.908211789967081,0.4918950498079379,0.3721858729268873,0.3903125024398168,0.4474889453117664,0.7425949976092618,-0.3366626796259636,-0.1245742025256968,0.3655666330924362,0.4874115287969999,0.7958034720934477,-0.1285652641547939
